date,max_temp_celsius,min_temp_celsius,precipitation_mm,max_wind_speed_kmh,max_temp_fahrenheit,min_temp_fahrenheit,max_wind_speed_mph,precipitation_inches
2025-01-01,1.1,-2.3,0.0,27.6,33.98,27.86,17.1498396,0.0
2025-01-02,4.4,-3.3,0.7,12.6,39.92,26.060000000000002,7.8292746,0.027559055118110236
2025-01-03,0.2,-7.7,0.2,22.5,32.36,18.14,13.9808475,0.007874015748031498
2025-01-04,-4.6,-10.8,0.0,15.7,23.72,12.559999999999999,9.7555247,0.0
2025-01-05,-5.0,-6.5,5.4,24.4,23.0,20.3,15.1614524,0.21259842519685043
2025-01-06,-2.9,-6.1,1.3,26.1,26.78,21.02,16.217783100000002,0.05118110236220473
2025-01-07,-4.0,-9.4,0.0,14.6,24.8,15.079999999999998,9.0720166,0.0
2025-01-08,-6.5,-10.9,0.0,12.9,20.3,12.379999999999999,8.015685900000001,0.0
2025-01-09,-6.9,-15.3,0.0,14.7,19.58,4.459999999999997,9.134153699999999,0.0
2025-01-10,-2.5,-8.5,6.4,14.8,27.5,16.7,9.1962908,0.2519685039370079
2025-01-11,-2.7,-5.5,0.0,17.8,27.14,22.1,11.060403800000001,0.0
2025-01-12,1.3,-5.5,0.0,21.3,34.34,22.1,13.235202300000001,0.0
2025-01-13,-6.2,-12.3,0.0,21.2,20.84,9.86,13.1730652,0.0
2025-01-14,-6.0,-15.4,0.6,25.2,21.2,4.280000000000001,15.6585492,0.023622047244094488
2025-01-15,-9.9,-20.4,0.0,18.7,14.18,-4.719999999999999,11.6196377,0.0
2025-01-16,1.1,-9.5,0.0,21.7,33.98,14.899999999999999,13.4837507,0.0
2025-01-17,4.7,-6.7,0.2,27.6,40.46,19.939999999999998,17.1498396,0.007874015748031498
2025-01-18,3.8,-5.3,0.5,24.1,38.839999999999996,22.46,14.9750411,0.01968503937007874
2025-01-19,-5.6,-16.3,0.0,22.5,21.92,2.6599999999999966,13.9808475,0.0
2025-01-20,-10.0,-18.1,0.1,20.1,14.0,-0.5799999999999983,12.4895571,0.003937007874015749
2025-01-21,-12.7,-20.2,0.0,19.9,9.14,-4.359999999999999,12.365282899999999,0.0
2025-01-22,-4.1,-18.7,0.0,23.5,24.62,-1.6599999999999966,14.6022185,0.0
2025-01-23,-2.8,-11.7,0.2,20.3,26.96,10.940000000000001,12.613831300000001,0.007874015748031498
2025-01-24,-5.5,-15.3,0.0,20.4,22.1,4.459999999999997,12.675968399999999,0.0
2025-01-25,5.0,-6.1,0.0,21.3,41.0,21.02,13.235202300000001,0.0
2025-01-26,-0.2,-5.0,0.0,14.3,31.64,23.0,8.8856053,0.0
2025-01-27,3.8,-7.9,0.0,26.6,38.839999999999996,17.779999999999998,16.5284686,0.0
2025-01-28,6.8,-1.8,0.0,26.8,44.239999999999995,28.76,16.652742800000002,0.0
2025-01-29,7.0,0.9,0.0,24.5,44.6,33.62,15.223589500000001,0.0
2025-01-30,6.9,-0.2,1.9,17.9,44.42,31.64,11.122540899999999,0.07480314960629922
2025-01-31,9.2,0.5,8.3,22.7,48.56,32.9,14.1051217,0.3267716535433071
2025-02-01,4.9,-2.4,0.0,22.5,40.82,27.68,13.9808475,0.0
2025-02-02,12.3,1.1,0.0,18.7,54.14,33.98,11.6196377,0.0
2025-02-03,17.4,1.6,0.0,25.2,63.32,34.88,15.6585492,0.0
2025-02-04,3.9,-3.6,0.0,21.9,39.02,25.52,13.608024899999998,0.0
2025-02-05,1.0,-4.0,3.3,17.8,33.8,24.8,11.060403800000001,0.12992125984251968
2025-02-06,5.1,0.1,0.3,21.1,41.18,32.18,13.1109281,0.011811023622047244
2025-02-07,2.5,-4.4,0.0,19.3,36.5,24.08,11.992460300000001,0.0
2025-02-08,2.9,-1.6,2.4,20.9,37.22,29.12,12.986653899999999,0.09448818897637795
2025-02-09,1.8,-4.0,0.0,19.2,35.24,24.8,11.9303232,0.0
2025-02-10,2.6,-8.3,0.0,11.3,36.68,17.06,7.0214923,0.0
2025-02-11,3.7,-2.0,0.0,21.9,38.660000000000004,28.4,13.608024899999998,0.0
2025-02-12,-1.2,-3.1,4.8,18.0,29.84,26.42,11.184678,0.1889763779527559
2025-02-13,-3.4,-11.9,0.1,22.3,25.880000000000003,10.579999999999998,13.8565733,0.003937007874015749
2025-02-14,-0.7,-13.5,0.6,21.5,30.74,7.699999999999999,13.3594765,0.023622047244094488
2025-02-15,5.0,-0.8,3.6,20.6,41.0,30.56,12.8002426,0.14173228346456693
2025-02-16,-1.1,-10.7,1.9,27.4,30.02,12.740000000000002,17.025565399999998,0.07480314960629922
2025-02-17,-9.0,-14.9,0.1,19.3,15.8,5.18,11.992460300000001,0.003937007874015749
2025-02-18,-11.3,-17.5,0.3,16.4,11.66,0.5,10.190484399999999,0.011811023622047244
2025-02-19,-9.0,-15.1,1.5,16.1,15.8,4.82,10.004073100000001,0.05905511811023623
2025-02-20,-7.0,-17.6,0.0,16.1,19.4,0.3200000000000003,10.004073100000001,0.0
2025-02-21,-1.0,-13.3,0.0,13.0,30.2,8.059999999999999,8.077823,0.0
2025-02-22,3.0,-9.6,0.0,20.0,37.4,14.720000000000002,12.42742,0.0
2025-02-23,9.1,-3.3,0.0,18.5,48.379999999999995,26.060000000000002,11.4953635,0.0
2025-02-24,13.3,1.1,0.0,19.7,55.94,33.98,12.2410087,0.0
2025-02-25,14.4,2.8,0.1,15.5,57.92,37.04,9.6312505,0.003937007874015749
