Date,Foot Traffic,Max Temperature (°F),Min Temperature (°F),Max Wind Speed (mph),Avg Wind Speed (mph),Precipitation (in),Special Event,Category,Total Sales by Category,Total Sales,Total Transactions
5/14/22,2893,90,64,18,7.7,0,1,FM-DRINKS-COFFEE,,,
5/14/22,2893,90,64,18,7.7,0,1,FM-DRINKS-NOT-COFFEE,,,
5/14/22,2893,90,64,18,7.7,0,1,FM-FOOD,,,
5/21/22,1745,77,57,24,11.3,0.06,0,FM-DRINKS-COFFEE,,,
5/21/22,1745,77,57,24,11.3,0.06,0,FM-DRINKS-NOT-COFFEE,,,
5/21/22,1745,77,57,24,11.3,0.06,0,FM-FOOD,,,
5/28/22,2598,76,49,16,6.1,0.26,1,FM-DRINKS-COFFEE,,,
5/28/22,2598,76,49,16,6.1,0.26,1,FM-DRINKS-NOT-COFFEE,,,
5/28/22,2598,76,49,16,6.1,0.26,1,FM-FOOD,,,
6/4/22,3438,87,58,16,5.6,0,0,FM-DRINKS-COFFEE,,,
6/4/22,3438,87,58,16,5.6,0,0,FM-DRINKS-NOT-COFFEE,,,
6/4/22,3438,87,58,16,5.6,0,0,FM-FOOD,,,
6/11/22,3647,83,58,13,3,0.11,0,FM-DRINKS-COFFEE,,,
6/11/22,3647,83,58,13,3,0.11,0,FM-DRINKS-NOT-COFFEE,,,
6/11/22,3647,83,58,13,3,0.11,0,FM-FOOD,,,
6/18/22,4324,82,62,17,10.9,0,0,FM-DRINKS-COFFEE,,,
6/18/22,4324,82,62,17,10.9,0,0,FM-DRINKS-NOT-COFFEE,,,
6/18/22,4324,82,62,17,10.9,0,0,FM-FOOD,,,
6/25/22,3573,84,68,23,10.2,0,0,FM-DRINKS-COFFEE,,,
6/25/22,3573,84,68,23,10.2,0,0,FM-DRINKS-NOT-COFFEE,,,
6/25/22,3573,84,68,23,10.2,0,0,FM-FOOD,,,
7/2/22,4092,85,66,13,6.5,0,1,FM-DRINKS-COFFEE,,,
7/2/22,4092,85,66,13,6.5,0,1,FM-DRINKS-NOT-COFFEE,,,
7/2/22,4092,85,66,13,6.5,0,1,FM-FOOD,,,
7/9/22,4445,83,68,17,12.7,0.88,0,FM-DRINKS-COFFEE,,,
7/9/22,4445,83,68,17,12.7,0.88,0,FM-DRINKS-NOT-COFFEE,,,
7/9/22,4445,83,68,17,12.7,0.88,0,FM-FOOD,,,
7/16/22,2547,88,72,12,6.5,0.14,0,FM-DRINKS-COFFEE,,,
7/16/22,2547,88,72,12,6.5,0.14,0,FM-DRINKS-NOT-COFFEE,,,
7/16/22,2547,88,72,12,6.5,0.14,0,FM-FOOD,,,
7/23/22,2415,87,74,21,10.7,0,0,FM-DRINKS-COFFEE,,,
7/23/22,2415,87,74,21,10.7,0,0,FM-DRINKS-NOT-COFFEE,,,
7/23/22,2415,87,74,21,10.7,0,0,FM-FOOD,,,
7/30/22,3768,83,56,6,3,0,0,FM-DRINKS-COFFEE,,,
7/30/22,3768,83,56,6,3,0,0,FM-DRINKS-NOT-COFFEE,,,
7/30/22,3768,83,56,6,3,0,0,FM-FOOD,,,
8/6/22,4081,89,69,12,6.2,0,1,FM-DRINKS-COFFEE,,,
8/6/22,4081,89,69,12,6.2,0,1,FM-DRINKS-NOT-COFFEE,,,
8/6/22,4081,89,69,12,6.2,0,1,FM-FOOD,,,
8/13/22,4144,78,57,13,7.6,0,0,FM-DRINKS-COFFEE,,,
8/13/22,4144,78,57,13,7.6,0,0,FM-DRINKS-NOT-COFFEE,,,
8/13/22,4144,78,57,13,7.6,0,0,FM-FOOD,,,
8/20/22,2859,82,66,18,6.3,0.03,1,FM-DRINKS-COFFEE,,,
8/20/22,2859,82,66,18,6.3,0.03,1,FM-DRINKS-NOT-COFFEE,,,
8/20/22,2859,82,66,18,6.3,0.03,1,FM-FOOD,,,
8/27/22,4723,84,61,8,6,0,1,FM-DRINKS-COFFEE,,,
8/27/22,4723,84,61,8,6,0,1,FM-DRINKS-NOT-COFFEE,,,
8/27/22,4723,84,61,8,6,0,1,FM-FOOD,,,
9/3/22,3772,80,67,8,3.9,0,1,FM-DRINKS-COFFEE,,,
9/3/22,3772,80,67,8,3.9,0,1,FM-DRINKS-NOT-COFFEE,,,
9/3/22,3772,80,67,8,3.9,0,1,FM-FOOD,,,
9/10/22,3602,83,58,8,3.1,0,1,FM-DRINKS-COFFEE,,,
9/10/22,3602,83,58,8,3.1,0,1,FM-DRINKS-NOT-COFFEE,,,
9/10/22,3602,83,58,8,3.1,0,1,FM-FOOD,,,
9/17/22,3238,85,63,16,8.5,0,0,FM-DRINKS-COFFEE,,,
9/17/22,3238,85,63,16,8.5,0,0,FM-DRINKS-NOT-COFFEE,,,
9/17/22,3238,85,63,16,8.5,0,0,FM-FOOD,,,
9/24/22,2955,79,52,14,8.9,0.19,1,FM-DRINKS-COFFEE,,,
9/24/22,2955,79,52,14,8.9,0.19,1,FM-DRINKS-NOT-COFFEE,,,
