Item,Qty,Datetime
Drink 2 - Cold Brew - FM,1.0,2023-10-28 11:41:41
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:40:39
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 11:40:39
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 11:34:11
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:33:24
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:32:32
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:29:59
Croissant - Pain Au Raisin - FM,1.0,2023-10-28 11:29:59
Croissant - Butter - FM,1.0,2023-10-28 11:28:44
Croissant - Butter - FM,1.0,2023-10-28 11:27:35
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 11:26:00
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 11:24:14
Croissant - Pain Au Raisin - FM,1.0,2023-10-28 11:20:38
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 11:19:35
Berry Croissant - FM,1.0,2023-10-28 11:17:12
Berry Croissant - FM,1.0,2023-10-28 11:16:10
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:14:08
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 11:14:08
Drink 2 - Cold Brew - FM,1.0,2023-10-28 11:11:14
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 11:09:57
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 11:05:20
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 11:05:20
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 11:04:59
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:03:50
Berry Croissant - FM,1.0,2023-10-28 11:03:50
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 11:03:50
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 11:03:50
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 11:03:50
Croissant - Butter - FM,1.0,2023-10-28 11:03:50
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 11:01:59
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 11:01:24
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:59:14
Croissant - Butter - FM,1.0,2023-10-28 10:58:06
Croissant - Cube - FM,1.0,2023-10-28 10:57:10
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:57:10
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 10:55:59
Croissant - Cube - FM,1.0,2023-10-28 10:55:29
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:55:29
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 10:55:29
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:54:11
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 10:51:42
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 10:49:15
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 10:48:22
Drink 2 - Cold Brew - FM,1.0,2023-10-28 10:48:22
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 10:46:15
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:45:25
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 10:45:25
KA - Original - FM,1.0,2023-10-28 10:43:59
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:43:59
Croissant - Pain Au Raisin - FM,1.0,2023-10-28 10:42:34
Croissant - Almond - FM,1.0,2023-10-28 10:42:34
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:42:34
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:41:41
Croissant - Pain Au Chocolat - FM,2.0,2023-10-28 10:41:17
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 10:41:17
Croissant - Almond - FM,1.0,2023-10-28 10:40:11
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:38:52
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:38:52
Croissant - Cube - FM,1.0,2023-10-28 10:38:17
Croissant - Cube - FM,1.0,2023-10-28 10:37:39
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 10:34:59
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:34:59
Drink 1 - Drip Coffee - FM,3.0,2023-10-28 10:34:20
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:33:31
Croissant - Cube - FM,1.0,2023-10-28 10:30:37
Drink 3 - Mango Black Tea - FM,1.0,2023-10-28 10:30:07
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 10:30:07
Croissant - Pain Au Raisin - FM,2.0,2023-10-28 10:28:36
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:26:37
Croissant - Almond - FM,1.0,2023-10-28 10:25:58
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 10:25:17
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:25:17
Drink 2 - Cold Brew - FM,2.0,2023-10-28 10:24:06
Croissant - Cube - FM,1.0,2023-10-28 10:23:04
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:23:04
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:22:12
Drink 4 - Strawberry Lemonade - FM,1.0,2023-10-28 10:19:55
Croissant - Almond - FM,1.0,2023-10-28 10:19:55
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 10:17:53
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:17:53
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 10:17:13
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 10:17:13
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:17:03
Croissant - Almond - FM,4.0,2023-10-28 10:12:49
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 10:12:49
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:10:05
Croissant - Almond - FM,2.0,2023-10-28 10:09:35
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 10:09:01
Berry Croissant - FM,1.0,2023-10-28 10:07:22
Croissant - Cube - FM,1.0,2023-10-28 10:06:10
KA - Original - FM,1.0,2023-10-28 10:06:10
Berry Croissant - FM,1.0,2023-10-28 10:04:57
Croissant - Butter - FM,1.0,2023-10-28 10:03:38
Croissant - Butter - FM,2.0,2023-10-28 10:00:00
Croissant - Pain Au Raisin - FM,1.0,2023-10-28 10:00:00
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:58:37
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:57:44
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:57:02
Croissant - Butter - FM,2.0,2023-10-28 09:55:47
Croissant - Pain Au Chocolat - FM,1.0,2023-10-28 09:55:47
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:55:08
Croissant - Almond - FM,1.0,2023-10-28 09:54:10
Drink 2 - Cold Brew - FM,1.0,2023-10-28 09:52:04
KA - Original - FM,2.0,2023-10-28 09:49:33
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:49:33
Croissant - Cube - FM,1.0,2023-10-28 09:48:50
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:48:31
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:48:01
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:47:32
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:47:32
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:47:32
Croissant - Almond - FM,1.0,2023-10-28 09:47:32
KA - Original - FM,1.0,2023-10-28 09:47:32
KA - Original - FM,1.0,2023-10-28 09:45:11
Croissant - Rose & Lychee Croissant - FM,2.0,2023-10-28 09:43:17
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:42:35
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:41:03
KA - Original - FM,1.0,2023-10-28 09:41:03
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:40:14
Croissant - Almond - FM,2.0,2023-10-28 09:40:14
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:40:14
Croissant - Cube - FM,1.0,2023-10-28 09:38:23
Croissant - Cube - FM,1.0,2023-10-28 09:37:49
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:35:15
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:34:47
Drink 1 - Drip Coffee - FM,2.0,2023-10-28 09:33:47
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:31:15
Berry Croissant - FM,1.0,2023-10-28 09:31:15
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:30:02
Croissant - Ube & Strawberry - FM,1.0,2023-10-28 09:30:02
Croissant - Cube - FM,1.0,2023-10-28 09:26:16
Berry Croissant - FM,1.0,2023-10-28 09:25:35
Berry Croissant - FM,1.0,2023-10-28 09:24:48
Croissant - Almond - FM,1.0,2023-10-28 09:24:48
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:24:23
KA - Original - FM,1.0,2023-10-28 09:23:30
Croissant - Cube - FM,1.0,2023-10-28 09:23:30
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:23:30
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:22:28
Croissant - Pumpkin Croissant - FM,1.0,2023-10-28 09:22:28
Drink 1 - Drip Coffee - FM,1.0,2023-10-28 09:21:21
Croissant - Rose & Lychee Croissant - FM,1.0,2023-10-28 09:15:43
KA - Original - FM,1.0,2023-10-28 09:15:43
Berry Croissant - FM,1.0,2023-10-28 09:14:04
Berry Croissant - FM,1.0,2023-10-28 09:13:31
