Item,Qty,Datetime,Traffic
Drink 2 - Cold Brew - FM,1,2023-10-28 11:41:41,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:40:39,432
Croissant - Pumpkin Croissant - FM,1,2023-10-28 11:40:39,432
Croissant - Pumpkin Croissant - FM,1,2023-10-28 11:34:11,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:33:24,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:32:32,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:29:59,432
Croissant - Pain Au Raisin - FM,1,2023-10-28 11:29:59,432
Croissant - Butter - FM,1,2023-10-28 11:28:44,432
Croissant - Butter - FM,1,2023-10-28 11:27:35,432
Croissant - Ube & Strawberry - FM,1,2023-10-28 11:26:00,432
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 11:24:14,432
Croissant - Pain Au Raisin - FM,1,2023-10-28 11:20:38,432
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 11:19:35,432
Berry Croissant - FM,1,2023-10-28 11:17:12,432
Berry Croissant - FM,1,2023-10-28 11:16:10,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:14:08,432
Croissant - Pumpkin Croissant - FM,1,2023-10-28 11:14:08,432
Drink 2 - Cold Brew - FM,1,2023-10-28 11:11:14,432
Croissant - Pumpkin Croissant - FM,1,2023-10-28 11:09:57,432
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 11:05:20,432
Croissant - Ube & Strawberry - FM,1,2023-10-28 11:05:20,432
Croissant - Ube & Strawberry - FM,1,2023-10-28 11:04:59,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:03:50,432
Berry Croissant - FM,1,2023-10-28 11:03:50,432
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 11:03:50,432
Croissant - Pumpkin Croissant - FM,1,2023-10-28 11:03:50,432
Croissant - Ube & Strawberry - FM,1,2023-10-28 11:03:50,432
Croissant - Butter - FM,1,2023-10-28 11:03:50,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 11:01:59,432
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 11:01:24,432
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:59:14,559
Croissant - Butter - FM,1,2023-10-28 10:58:06,559
Croissant - Cube - FM,1,2023-10-28 10:57:10,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:57:10,559
Croissant - Ube & Strawberry - FM,1,2023-10-28 10:55:59,559
Croissant - Cube - FM,1,2023-10-28 10:55:29,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:55:29,559
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 10:55:29,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:54:11,559
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 10:51:42,559
Croissant - Ube & Strawberry - FM,1,2023-10-28 10:49:15,559
Croissant - Ube & Strawberry - FM,1,2023-10-28 10:48:22,559
Drink 2 - Cold Brew - FM,1,2023-10-28 10:48:22,559
Drink 1 - Drip Coffee - FM,2,2023-10-28 10:46:15,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:45:25,559
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 10:45:25,559
KA - Original - FM,1,2023-10-28 10:43:59,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:43:59,559
Croissant - Pain Au Raisin - FM,1,2023-10-28 10:42:34,559
Croissant - Almond - FM,1,2023-10-28 10:42:34,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:42:34,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:41:41,559
Croissant - Pain Au Chocolat - FM,2,2023-10-28 10:41:17,559
Croissant - Ube & Strawberry - FM,1,2023-10-28 10:41:17,559
Croissant - Almond - FM,1,2023-10-28 10:40:11,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:38:52,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:38:52,559
Croissant - Cube - FM,1,2023-10-28 10:38:17,559
Croissant - Cube - FM,1,2023-10-28 10:37:39,559
Croissant - Pumpkin Croissant - FM,1,2023-10-28 10:34:59,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:34:59,559
Drink 1 - Drip Coffee - FM,3,2023-10-28 10:34:20,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:33:31,559
Croissant - Cube - FM,1,2023-10-28 10:30:37,559
Drink 3 - Mango Black Tea - FM,1,2023-10-28 10:30:07,559
Croissant - Pumpkin Croissant - FM,1,2023-10-28 10:30:07,559
Croissant - Pain Au Raisin - FM,2,2023-10-28 10:28:36,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:26:37,559
Croissant - Almond - FM,1,2023-10-28 10:25:58,559
Croissant - Pumpkin Croissant - FM,1,2023-10-28 10:25:17,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:25:17,559
Drink 2 - Cold Brew - FM,2,2023-10-28 10:24:06,559
Croissant - Cube - FM,1,2023-10-28 10:23:04,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:23:04,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:22:12,559
Drink 4 - Strawberry Lemonade - FM,1,2023-10-28 10:19:55,559
Croissant - Almond - FM,1,2023-10-28 10:19:55,559
Croissant - Pumpkin Croissant - FM,1,2023-10-28 10:17:53,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:17:53,559
Croissant - Pain Au Chocolat - FM,1,2023-10-28 10:17:13,559
Drink 1 - Drip Coffee - FM,2,2023-10-28 10:17:13,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:17:03,559
Croissant - Almond - FM,4,2023-10-28 10:12:49,559
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 10:12:49,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:10:05,559
Croissant - Almond - FM,2,2023-10-28 10:09:35,559
Drink 1 - Drip Coffee - FM,1,2023-10-28 10:09:01,559
Berry Croissant - FM,1,2023-10-28 10:07:22,559
Croissant - Cube - FM,1,2023-10-28 10:06:10,559
KA - Original - FM,1,2023-10-28 10:06:10,559
Berry Croissant - FM,1,2023-10-28 10:04:57,559
Croissant - Butter - FM,1,2023-10-28 10:03:38,559
Croissant - Butter - FM,2,2023-10-28 10:00:00,559
Croissant - Pain Au Raisin - FM,1,2023-10-28 10:00:00,559
Croissant - Pumpkin Croissant - FM,1,2023-10-28 09:58:37,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:57:44,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:57:02,397
Croissant - Butter - FM,2,2023-10-28 09:55:47,397
Croissant - Pain Au Chocolat - FM,1,2023-10-28 09:55:47,397
Drink 1 - Drip Coffee - FM,2,2023-10-28 09:55:08,397
Croissant - Almond - FM,1,2023-10-28 09:54:10,397
Drink 2 - Cold Brew - FM,1,2023-10-28 09:52:04,397
KA - Original - FM,2,2023-10-28 09:49:33,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:49:33,397
Croissant - Cube - FM,1,2023-10-28 09:48:50,397
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 09:48:31,397
Croissant - Pumpkin Croissant - FM,1,2023-10-28 09:48:01,397
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 09:47:32,397
Croissant - Ube & Strawberry - FM,1,2023-10-28 09:47:32,397
Croissant - Pumpkin Croissant - FM,1,2023-10-28 09:47:32,397
Croissant - Almond - FM,1,2023-10-28 09:47:32,397
KA - Original - FM,1,2023-10-28 09:47:32,397
KA - Original - FM,1,2023-10-28 09:45:11,397
Croissant - Rose & Lychee Croissant - FM,2,2023-10-28 09:43:17,397
Drink 1 - Drip Coffee - FM,2,2023-10-28 09:42:35,397
Croissant - Ube & Strawberry - FM,1,2023-10-28 09:41:03,397
KA - Original - FM,1,2023-10-28 09:41:03,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:40:14,397
Croissant - Almond - FM,2,2023-10-28 09:40:14,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:40:14,397
Croissant - Cube - FM,1,2023-10-28 09:38:23,397
Croissant - Cube - FM,1,2023-10-28 09:37:49,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:35:15,397
Drink 1 - Drip Coffee - FM,2,2023-10-28 09:34:47,397
Drink 1 - Drip Coffee - FM,2,2023-10-28 09:33:47,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:31:15,397
Berry Croissant - FM,1,2023-10-28 09:31:15,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:30:02,397
Croissant - Ube & Strawberry - FM,1,2023-10-28 09:30:02,397
