Date,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM
5/6/23,304,340,490,491,574
5/13/23,255,466,515,511,701
5/20/23,400,806,1010,924,652
5/27/23,348,503,843,1293,860
6/3/23,479,841,893,823,680
6/10/23,587,837,1205,1014,663
6/17/23,421,678,865,700,565
6/24/23,516,704,816,790,556
7/1/23,344,356,631,609,498
7/8/23,604,939,1266,1257,967
7/15/23,512,426,784,817,610
7/22/23,598,920,1113,1244,909
7/29/23,595,905,1081,931,583
8/5/23,493,592,464,325,268
8/12/23,528,867,975,826,707
8/19/23,890,1214,1454,1433,1188
8/26/23,523,813,1420,1129,855
9/2/23,647,766,1293,1427,1130
9/9/23,480,750,1155,1298,1159
9/16/23,564,859,1031,1286,1943
9/23/23,451,821,1063,916,689
9/30/23,481,664,866,1016,605
10/7/23,282,485,860,1186,893
10/14/23,285,332,461,500,475
10/21/23,286,354,728,990,794
10/28/23,184,266,397,559,432
5/4/24,614,1065,1335,1385,819
5/11/24,574,1008,1354,1284,854
5/18/24,593,1017,1206,1141,1035
5/25/24,547,968,1449,1357,1243
6/1/24,359,534,521,612,440
6/8/24,487,896,1287,1291,891
6/15/24,650,1020,1343,1258,825
6/22/24,689,1014,1264,1112,621
6/29/24,743,938,1194,1457,817
7/6/24,671,1036,1583,1932,1052
7/13/24,968,1289,1618,1361,610
7/20/24,772,1006,1418,1363,1070
7/27/24,664,1075,1417,1424,1018
8/3/24,692,943,1179,1154,590
8/10/24,562,957,1421,1271,836
8/17/24,677,960,1245,1313,1026
8/24/24,580,895,1245,1309,912
8/31/24,548,1036,1046,1099,1093
9/7/24,528,816,1216,1373,1031
9/14/24,516,783,1064,1167,922
9/21/24,424,628,850,982,1143
9/28/24,532,923,1122,1108,964
10/5/24,505,636,928,1081,1117
10/12/24,449,623,660,779,726
10/19/24,291,474,774,884,814
10/26/24,280,473,685,891,646
